,signature 1,signature 5,signature 2,signature 13,signature 6,signature 4,signature 17,signature 10,signature 18,signature 26,signature 3,signature 7,signature 8,signature 9,signature 11,signature 14,signature 15,signature 20,signature 22,signature 30,signature 12,signature 16,signature 19,signature 21,signature 23,signature 24,signature 25,signature 27,signature 28,signature 29
breast,1,1,1,1,1,,1,1,1,1,,,1,,,,,1,,1,,,,,,,,,,
stomach,1,1,1,1,,,1,,1,1,,,,,,,1,1,,,,,,1,,,,,1,
liver,1,1,,,1,1,1,,,,,,,,,,,,1,,1,1,,,1,1,,,,
uterus,1,1,1,1,1,,,1,,1,,,,,,1,,,,,,,,,,,,,,
adrenal.glands,1,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,
cervix,1,1,1,1,1,,,1,,1,,,,,,,,,,,,,,,,,,,,
lung,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
oesophagus,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
bladder,1,1,1,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,
neck,1,1,1,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,
whitecells,1,1,1,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,
head.neck,1,1,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,1
bone,1,1,1,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,
pancreas,1,1,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,
uterus,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,
leukemia,1,1,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
lung,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
skin,1,1,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,
neck.head,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
ureter,1,1,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,
colon.rectum,1,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
brain,1,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
kidney,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,
kidney,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
lung,1,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
bonemarrow,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
thryoid,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
brain,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
kidney,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
whitecells,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
brain,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
brain,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
ovary,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
brain,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
prostate,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
eyes,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
leukemia,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bone,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NS,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
